date;cell number;cczb or ivb file name form which I have took the data;bridge error if applied;firs ISI value;mean ISI value;mean-firstISI;all spikes mean spike width;first spike width mean;first -all spikes width;all spikes fAHP 5/2 s mean;all spikes MEDIAN PHP;fAHP-medianPHP;all spike threshold value-PHP;all spikes mean spike thtrshold value;spike threshold  -fAHP;firts fAHP voltage value;mean fAHP;change;bursts presence;if more spikes at the beggining of each step ;by eye type;by eye type2
18.07.2017;1;133ivb;0,00;2,50;9,61;7,11;0,61;0,53;-0,08;-51,30;-53,19;1,89;4,29;-50,32;0,98;-60,00;-51,30;-8,70;0,00;0,00;FS;FS
15.09.2017;4;304ivb;0,00;18,00;33,19;15,19;1,00;0,98;-0,02;-50,34;-57,86;7,52;9,84;-50,37;-0,03;-50,39;-50,34;-0,05;0,00;1,00;RS;RS
23.09.2017;7;026ivb;5,00;13,00;36,30;23,30;1,73;1,13;-0,60;-37,74;-47,35;9,61;8,41;-42,42;-4,68;-50,92;-37,74;-13,18;0,00;1,00;RS;RS
16.10.2017;1;910 ivb;0,00;18,00;48,33;30,33;1,14;0,90;-0,24;-47,42;-50,58;3,16;11,13;-41,51;5,91;-53,15;-47,42;-5,73;0,00;1,00;RS;RS
18.10.2017;3;247ivb;0,00;8,00;30,45;22,45;1,79;0,92;-0,87;-43,53;-53,00;9,47;12,95;-42,00;1,53;-57,03;-43,53;-13,50;0,00;1,00;RS;RS
18.10.2017;6;842ivb;0,00;3,00;20,30;17,30;1,55;0,80;-0,75;-43,66;-50,40;6,74;6,67;-45,46;-1,80;-54,84;-43,66;-11,18;0,00;1,00;RS;RS
19.10.2017;2;949ivb;12,00;10,00;35,45;25,45;1,02;0,81;-0,21;-54,89;-58,63;3,74;7,96;-52,41;2,48;-63,97;-54,89;-9,08;0,00;1,00;LTS;RS
21.10.2017;1;509ivb;98,00;22,00;37,13;15,13;1,30;0,90;-0,40;-38,95;-45,20;6,25;9,97;-35,60;3,35;-49,22;-38,95;-10,27;0,00;1,00;RS;RS
24.10.2017;3;333.ivb;30,00;11,00;52,04;41,04;1,38;1,16;-0,22;-46,24;-48,52;2,28;9,98;-40,40;5,84;-49,55;-46,24;-3,31;0,00;1,00;LTS;RS
25.10.2017;1;734ivb;95,00;25,00;41,60;16,60;0,90;0,81;-0,09;-48,72;-55,30;6,58;14,38;-45,55;3,17;-53,91;-48,72;-5,19;0,00;0,00;RS;RS
09.11.2017;4;756ivb;5,00;20,00;65,01;45,01;1,20;1,05;-0,15;-50,82;-55,78;4,96;17,84;-42,91;7,91;-55,31;-50,82;-4,49;0,00;0,00;LTS;RS
10.11.2017;2;745ivb;20,00;9,00;26,95;17,95;1,88;0,90;-0,98;-42,55;-48,95;6,40;10,68;-40,91;1,64;-53,55;-42,55;-11,00;0,00;1,00;RS;RS
10.11.2017;3;025ivb;35,00;5,00;26,95;21,95;1,67;0,92;-0,75;-42,03;-46,95;4,92;9,30;-39,61;2,42;-50,52;-42,03;-8,49;0,00;1,00;RS;RS
11.11.2017;5;050ivb;100,00;12,50;32,11;19,61;1,10;0,95;-0,15;-55,32;-57,56;2,24;12,25;-46,70;8,62;-56,78;-55,32;-1,46;0,00;1,00;RS;RS
11.11.2017;3;056ivb;80,00;30,00;47,00;17,00;1,34;1,14;-0,20;-45,65;-54,30;8,65;11,74;-45,80;-0,15;-53,91;-45,65;-8,26;0,00;0,00;RS;RS
17.11.2017;1;435ivb;-20,00;20,00;43,57;23,57;0,42;0,42;0,00;-73,53;-75,74;2,21;19,70;-56,05;17,48;-73,53;-73,53;0,00;0,00;0,00;FS;FS
18.11.2017;2;513ivb;0,00;13,00;43,92;30,92;0,93;0,77;-0,16;-55,46;-58,07;2,61;14,84;-45,86;9,60;-59,72;-55,46;-4,26;0,00;1,00;RS;RS
20.11.2017;6;851.ivb;0,00;36,00;62,73;26,73;1,65;1,17;-0,48;-46,37;-53,12;6,75;11,95;-43,58;2,79;-51,45;-46,37;-5,08;0,00;0,00;RS;RS
21.11.2017;2;216ivb;40,00;11,00;38,57;27,57;1,74;1,13;-0,61;-45,63;-55,45;9,82;13,83;-43,37;2,26;-55,42;-45,63;-9,79;0,00;1,00;RS;RS
22.11.2017;2;057ivb;0,00;10,00;25,40;15,40;0,86;0,70;-0,16;-51,20;-52,94;1,74;11,33;-42,56;8,64;-55,78;-51,20;-4,58;0,00;1,00;LTS;RS
22.11.2017;3;021ivb;45,00;19,00;47,00;28,00;0,97;0,82;-0,15;-47,23;-53,13;5,90;16,95;-39,00;8,23;-53,43;-47,23;-6,20;0,00;1,00;RS;RS
22.11.2017;5;450ivb;0,00;0,00;0,00;0,00;0,96;0,96;0,00;-49,97;-62,24;12,27;14,52;-47,75;2,22;-49,97;-49,97;0,00;0,00;1,00;;RS
23.11.2017;1;916ivb;0,00;10,00;43,46;33,46;1,86;0,86;-1,00;-46,41;-52,12;5,71;8,06;-45,21;1,20;-56,91;-46,41;-10,50;0,00;1,00;RS;RS
23.11.2017;4;617ivb;0,00;31,00;63,40;32,40;1,24;1,05;-0,19;-40,36;-47,66;7,30;14,51;-34,31;6,05;-47,09;-40,36;-6,73;0,00;1,00;RS;RS
25.11.2017;3;218ivb;30,00;8,00;10,48;2,48;0,32;0,28;-0,04;-51,77;-51,64;-0,13;15,21;-36,93;14,84;-53,87;-51,77;-2,10;0,00;0,00;FS;FS
27.11.2017;3;610ivb;30,00;5,00;23,26;18,26;1,63;0,80;-0,83;-45,15;-51,49;6,34;8,99;-43,56;1,59;-54,35;-45,15;-9,20;0,00;1,00;RS;RS
01.12.2017;3;456ivb;10,00;17,00;44,60;27,60;1,52;1,01;-0,51;-46,40;-58,21;11,81;10,55;-49,63;-3,23;-54,37;-46,40;-7,97;0,00;0,00;RS;RS
03.12.2017;7;819ivb;0,00;9,00;29,60;20,60;1,36;1,00;-0,36;-44,09;-52,75;8,66;10,46;-44,39;-0,30;-56,62;-44,09;-12,53;0,00;1,00;LTS;RS
03.12.2017;9;555ivb;0,00;210,00;300,00;90,00;2,20;2,15;-0,05;-30,80;-52,33;21,53;22,99;-28,45;2,35;-31,74;-30,80;-0,94;0,00;0,00;;
04.12.2017;1;405ivb;0,00;8,00;30,57;22,57;2,19;1,13;-1,06;-40,73;-49,77;9,04;13,52;-38,28;2,45;-52,65;-40,73;-11,92;0,00;0,00;LTS;RS
05.12.2017;3;332ivb;38,00;14,00;47,84;33,84;1,88;1,33;-0,55;-47,05;-56,86;9,81;12,00;-48,31;-1,26;-57,30;-47,05;-10,25;0,00;0,00;RS;RS
05.12.2017;4;209ivb;12,00;17,00;53,20;36,20;2,11;1,41;-0,70;-36,97;-21,29;-15,68;14,65;-38,40;-1,43;-50,98;-36,97;-14,01;0,00;1,00;RS;RS
06.12.2017;1;340ivb;5,00;7,00;29,00;22,00;1,96;0,97;-0,99;-44,38;-52,44;8,06;10,58;-43,90;0,48;-53,85;-44,38;-9,47;0,00;1,00;RS;RS
06.12.2017;4;054ivb;-5,00;13,00;36,28;23,28;1,36;0,95;-0,41;-42,72;-52,77;10,05;14,71;-44,27;-1,55;-57,67;-42,72;-14,95;0,00;1,00;LTS;RS
07.12.2017;3;218ivb;15,00;25,00;63,79;38,79;0,75;0,74;-0,01;-60,70;-65,76;5,06;17,95;-51,85;8,85;-58,77;-60,70;1,93;0,00;0,00;RS;RS
09.12.2017;1;046ivb;15,00;8,00;33,88;25,88;1,39;0,87;-0,52;-36,17;-57,77;21,60;10,97;-49,92;-13,75;-61,06;-36,17;-24,89;0,00;1,00;LTS;RS
09.12.2017;3;811ivb;0,00;9,00;30,11;21,11;2,60;1,09;-1,51;-21,41;-46,48;25,07;13,58;-36,46;-15,05;-49,12;-21,41;-27,71;0,00;1,00;LTS;RS
09.12.2017;4;647ivb;0,00;16,00;25,43;9,43;0,58;0,52;-0,06;-53,69;-61,83;8,14;11,01;-49,49;4,20;-58,05;-53,69;-4,36;0,00;1,00;RS;RS
09.12.2017;7;104ivb;15,00;8,00;28,84;20,84;2,19;0,96;-1,23;-25,32;-51,55;26,23;9,50;-43,72;-18,40;-53,86;-25,32;-28,54;0,00;1,00;RS;RS
09.12.2017;9;215ivb;-18,00;8,00;8,10;0,10;0,30;0,27;-0,03;-65,91;-65,87;-0,04;16,94;-49,26;16,65;-69,38;-65,91;-3,47;0,00;0,00;FS;FS
09.12.2017;11;534ivb;0,00;20,00;50,47;30,47;3,60;1,60;-2,00;-12,28;-44,78;32,50;14,80;-35,46;-23,18;-34,98;-12,28;-22,70;0,00;1,00;RS;RS
12.12.2017;4;041ivb;0,00;8,00;40,78;32,78;1,70;1,09;-0,61;-31,01;-44,44;13,43;9,18;-37,51;-6,50;-43,67;-31,01;-12,66;0,00;0,00;RS;RS
12.12.2017;7;317ivb;12,00;25,00;68,70;43,70;3,03;1,50;-1,53;-16,44;-42,75;26,31;11,83;-34,43;-17,99;-36,79;-16,44;-20,35;0,00;1,00;RS;RS
13.12.2017;1;954ivb;-10,00;27,00;31,68;4,68;1,44;1,01;-0,43;-36,38;-49,99;13,61;11,03;-41,76;-5,38;-47,92;-36,38;-11,54;0,00;1,00;RS;RS
13.12.2017;4;310ivb;12,00;30,00;58,70;28,70;1,88;1,34;-0,54;-28,72;-41,68;12,96;15,87;-30,96;-2,24;-41,26;-28,72;-12,54;0,00;1,00;RS;RS
13.12.2017;5;023ivb;0,00;35,00;62,67;27,67;1,43;0,97;-0,46;-36,92;-51,86;14,94;10,87;-43,86;-6,94;-54,16;-36,92;-17,24;0,00;1,00;LTS;RS
13.12.2017;6;712ivb;0,00;22,00;53,93;31,93;2,02;1,12;-0,90;-28,68;-47,92;19,24;10,24;-39,60;-10,92;-48,40;-28,68;-19,72;0,00;1,00;LTS;RS
14.12.2017;3;737ivb;12,00;25,00;59,73;34,73;1,24;1,03;-0,21;-41,57;-57,39;15,82;11,50;-47,86;-6,29;-54,69;-41,57;-13,12;0,00;1,00;RS;RS
15.12.2017;3;048ivb;0,00;53,00;52,20;-0,80;0,74;0,65;-0,09;-52,42;-61,92;9,50;5,47;-55,94;-3,52;-56,33;-52,42;-3,91;0,00;1,00;FS;FS
16.12.2017;2;511ivb;10,00;27,00;60,88;33,88;0,95;0,77;-0,18;-51,43;-61,27;9,84;10,49;-53,85;-2,42;-60,79;-51,43;-9,36;0,00;1,00;RS;RS
18.12.2017;2;705ivb;0,00;15,00;65,35;50,35;2,82;1,03;-1,79;-19,42;-45,55;26,13;13,60;-35,45;-16,03;-43,54;-19,42;-24,12;0,00;1,00;RS;RS
18.12.2017;5;823ivb;0,00;8,00;65,43;57,43;2,18;1,06;-1,12;-26,49;-48,19;21,70;14,14;-37,93;-11,44;-45,26;-26,49;-18,77;1,00;1,00;BUR;RS
19.12.2017;4;633ivb;0,00;45,00;74,61;29,61;1,60;1,07;-0,53;-37,14;-58,11;20,97;11,53;-49,24;-12,10;-55,39;-37,14;-18,25;0,00;1,00;RS;RS
19.12.2017;6;609ivb;0,00;40,00;56,48;16,48;0,84;0,72;-0,12;-51,36;-59,80;8,44;15,74;-46,75;4,61;-56,01;-51,36;-4,65;0,00;1,00;RS;RS
19.12.2017;8;819ivb;0,00;18,00;46,43;28,43;2,51;1,30;-1,21;-22,83;-52,76;29,93;19,74;-38,19;-15,36;-42,28;-22,83;-19,45;0,00;1,00;RS;RS
20.12.2017;7;845ivb;20;6,5;40,35;33,85;1,6;0,9;-0,70;-32,13;-48,61;16,48;7,78;-41,86;-9,73;-47,67;-32,13;-15,54;0;1;RS;RS
20.12.2017;8;418ivb;0;32;60;28,00;0,96;0,714;-0,25;-44,78;-56,01;11,23;9,59;-48;-3,22;-58,83;-44,78;-14,05;1;1;BUR;RS
21.12.2017;1;545ivb;10;17;49,14;32,14;2,58;1,27;-1,31;-21,38;-36,42;15,04;10,63;-29,27;-7,89;-39,96;-21,38;-18,58;0;1;LTS;RS
21.12.2017;4;354ivb;0;44;52,37;8,37;0,514;0,467;-0,05;-57,52;-56,86;-0,66;13,46;-44,95;12,57;-65,95;-57,52;-8,43;0;0;FS;FS
21.12.2017;5;210ivb;0;24;49,9;25,90;3,1;1,38;-1,72;-18,37;-49,35;30,98;11,58;-40,79;-22,42;-49,65;-18,37;-31,28;0;1;RS;RS
22.12.2017;1;243ivb;0;23;46,15;23,15;0,654;0,522;-0,13;-66,78;-68,18;1,40;9,05;-59,97;6,81;-69,71;-66,78;-2,93;0;1;FS;FS
26.12.2017;4;138ivb;0;24;47,8;23,80;0,99;0,89;-0,10;-52,16;-57,53;5,37;9,53;-50,11;2,05;-55,45;-52,16;-3,29;0;0;RS;RS
27.12.2017;1;809ivb;0;8;57,51;49,51;1,59;1,13;-0,46;-38,94;-57,57;18,63;5,72;-53,8;-14,86;-56,83;-38,94;-17,89;0;1;RS;RS
27.12.2017;3;348ivb;0;12;63,45;51,45;1,93;1,44;-0,49;-30,1;-54;23,90;15,26;-45,81;-15,71;-43,47;-30,10;-13,37;1;1;RS;RS
27.12.2017;4;958ivb;10;35;46,86;11,86;1,8;1,35;-0,45;-35,54;-54,33;18,79;7,86;-48,26;-12,72;-53,21;-35,54;-17,67;1;1;LTS;RS
28.12.2017;2;013ivb;0;10;58,23;48,23;2,8;1,39;-1,41;-21,66;-55,2;33,54;10,29;-48,05;-26,39;-47,53;-21,66;-25,87;0;1;RS;RS
28.12.2017;8;303ivb;50;52;91,8;39,80;1,55;1,38;-0,17;-36,6;-62,24;25,64;13,1;-54,37;-17,77;-48,46;-36,60;-11,86;0;1;RS;RS
28.12.2017;9;230ivb;15;32;56,56;24,56;1,57;1,366;-0,20;-34,32;-58;23,68;8,57;-52,84;-18,52;-51,97;-34,32;-17,65;0;1;RS;RS
29.12.2017;2;119ivb;10;16;57,7;41,70;1,63;1,197;-0,43;-34,59;-58,93;24,34;8,11;-53,22;-18,63;-56,77;-34,59;-22,18;0;1;LTS;RS
07.04.2018;2;035ivb;0;46;111,85;65,85;1,12;1;-0,12;-55,06;-55,58;0,52;17,22;-51,55;3,51;-55,87;-55,06;-0,81;0;1;RS;RS
15.04.2018;4;751ivb;0;12;45,7;33,7;1,18;1,1;-0,08;-58,15;-59,53;1,38;29,92;-51,04;7,11;-60,14;-58,15;-1,99;0;1;RS;RS
18.04.2018;1;826ivb;29;52;45;-7;0,92;0,83;-0,09;-51,49;-52,15;0,66;11,11;-52,24;63,35;-53,69;-51,49;-2,2;0;0;RS;RS
19.04.2018;1;725ivb;22,00;29,90;30,32;0,42;1,40;0,98;-0,42;-33,91;-34,15;0,24;7,53;-37,95;45,48;-45,57;-33,91;-11,66;0,00;1,00;RS;RS
20.04.2018;4;328ivb;14;39,76;27,03;-12,73;1,2;0,97;-0,23;-39,13;-38,6;-0,53;13,64;-46,17;59,81;-51,3;-39,13;-12,17;0;0;RS;RS
23.04.2018;3;033ivb;0;5;35,96;30,96;1,2;0,9;-0,3;-35,91;-55,04;19,13;6,64;-50,44;57,08;-58,32;-35,91;-22,41;0;1;RS;RS
